,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
67,Alaska,Aleutians East Borough,3304,61518.0,1,15.0,11.999999999999998,9.2,30.5,28.999999999999996,3.1999999999999953,66.52542372881356,33.47457627118644
68,Alaska,Aleutians West Census Area,5684,84316.85432793807,2,27.781896551724135,10.96905348346235,4.612843068261787,36.74275158339198,12.937244897959186,4.537684729064042,59.693877551020414,40.30612244897959
94,Alaska,Yakutat City and Borough,643,72500.0,1,39.3,2.6,1.4,6.7,32.2,16.599999999999998,57.07620528771385,42.92379471228615
105,Arizona,Navajo,107656,35227.29639778554,31,42.58133127740209,11.052061194917144,0.4643336181912759,0.5844049565282011,43.08732536969608,2.1376384038047114,50.144905996878954,49.85509400312105
186,California,Alameda,1583546,83129.49433297169,358,32.97243982808203,22.6087903982581,11.325217202405243,27.512088376340206,0.3044554436688295,4.439316571795197,49.00514415116454,50.99485584883546
215,California,Orange,3104983,80007.39887239318,576,42.245860379911946,34.26011488629727,1.5487014260625576,18.82118517235039,0.20506830472179732,2.631445840444216,49.44407103034059,50.55592896965941
223,California,San Francisco,840198,85425.17429105997,193,41.25369448629966,15.29275194656497,5.317031699670786,33.540151012023365,0.1790531517570858,4.017023130262151,50.89264673327002,49.10735326672999
224,California,San Joaquin,708554,57348.55831453919,139,34.30343502400663,40.10198234714644,6.715521047090273,14.457721500407875,0.32458584666800255,3.600574550422411,49.735094290625696,50.26490570937431
226,California,San Mateo,746069,100369.92307279889,155,40.63850662606273,25.36681848461737,2.4768223850609004,26.204506955790958,0.11585322537191603,3.8274410275725175,49.1977283602455,50.8022716397545
228,California,Santa Clara,1868149,100743.84732855891,372,33.58126444946308,26.609013574399036,2.4111767316204435,33.51361181575987,0.18826608584218926,3.363188268173468,50.263870815443525,49.736129184556475
233,California,Solano,418996,71112.91749324575,94,39.98137619452213,25.363587719214504,13.006977154913177,14.819301616244548,0.2892084888638556,5.734617275582584,48.958701276384495,51.041298723615505
235,California,Stanislaus,527367,51428.43599239239,94,44.729190677459904,43.627805114844115,2.4503601856012986,5.247013939059516,0.489017894559197,2.7533749741641023,49.499684280586386,50.500315719413614
325,Florida,Broward,1825516,59496.9118249306,356,40.07904811571087,26.979279118890226,27.12820358736925,3.459272337246018,0.17219060254744417,2.13815414381468,48.62597753183209,51.3740224681679
367,Florida,Orange,1229039,52422.78052689947,206,43.52012076101737,28.718578580500687,19.884417744270124,5.09670433566388,0.13990027981211337,2.6072109184492938,49.1396936956435,50.8603063043565
446,Georgia,Fulton,979475,68791.44005513158,200,40.53121263942418,7.616824217055056,43.410720539064286,6.312102095510353,0.19201041374205569,1.9070093672630746,48.49128359580387,51.50871640419613
453,Georgia,Gwinnett,859234,64434.01559994134,113,41.22914142131248,20.35485548756217,24.74979365341688,10.981680892515895,0.18495334216290327,2.4587347567717277,49.04310118081919,50.95689881918081
475,Georgia,Liberty,64427,43504.82698247629,14,42.43991649463734,11.647612026013936,39.33576916510159,2.1088394617163613,0.40413646452574226,3.6765533083955484,50.68371955857016,49.31628044142983
492,Georgia,Muscogee,197879,45881.74273166935,52,42.561923700847494,7.28327917565785,43.964969501564106,2.3790851985304156,0.27372586277472594,3.3478069931624885,48.58726797689497,51.41273202310502
546,Hawaii,Hawaii,191482,52702.833963505705,33,30.763734972477835,12.241694258468158,0.6300498219153758,21.417572931137137,0.294768698885535,23.578733249078237,50.10340397530838,49.89659602469161
547,Hawaii,Honolulu,982103,79446.84654359064,229,19.41404913741227,9.247478930417687,2.443274890719202,41.68554968267076,0.12364497410149441,18.498969456360477,50.57086680317645,49.42913319682355
548,Hawaii,Kauai,69691,65896.51404055044,13,30.052009585168815,10.539893243029947,0.6537400812156519,33.604027779770696,0.23928340818757085,15.832578094732463,50.18008064168974,49.81991935831026
549,Hawaii,Maui,160863,67599.42253967661,34,31.383002306310342,10.814171686466127,0.5567688032673767,26.727681940533255,0.10811497982755514,20.801565307124687,50.22286044646687,49.777139553533125
609,Illinois,Cook,5235764,59825.22053782409,1313,43.087697974927856,24.733981783747254,23.656623904362384,6.7265020157516755,0.10233285915866332,1.6760994384009673,48.4561565418151,51.5438434581849
991,Kansas,Wyandotte,160802,42495.91378216689,63,42.58240569147149,27.156733747092705,23.87991318515939,3.42989266302658,0.4808882974092363,2.329875872190643,49.40299250009328,50.597007499906724
1467,Mississippi,Tallahatchie,14959,29524.28103482853,4,36.14742964101879,16.660017380840966,44.860110969984625,1.4950865699578848,0.3798114847249148,0.35757737816699897,59.542750183835814,40.45724981616418
1779,New Jersey,Essex,777084,66698.26327140952,206,31.390960308023335,21.988744717430805,39.101207462771086,4.728919782159972,0.1466092468767856,2.603039182379254,47.73898317299031,52.26101682700969
1781,New Jersey,Hudson,662595,63729.01510123077,164,29.398143511496443,42.7889241542722,11.077242206777882,14.485359835193442,0.14581954285800527,2.0622555256227417,49.681177793373024,50.318822206626976
1788,New Jersey,Passaic,506887,64225.41461903738,99,43.233648327931085,39.115153081456036,10.98054398712139,5.216144426667089,0.14403052356836932,1.2938639183881213,48.69980883313244,51.30019116686757
1792,New Jersey,Union,548744,78835.66497127987,108,42.354750849212024,29.43756232414389,20.31418748997712,4.779616178035658,0.08237976178327233,3.025799462044233,48.7044960856064,51.29550391439359
1797,New Mexico,Cibola,27382,34424.26915491929,7,20.923632313198446,37.50586516689796,0.8731538967204734,0.5878314221021108,38.47880724563582,1.5651924622014444,50.46015630706303,49.53984369293696
1817,New Mexico,San Juan,125133,50365.70645633047,33,41.01607249886122,19.586492771690917,0.4791605731501682,0.4983409652130133,36.28309478714648,2.0801019715023226,49.56646128519255,50.43353871480745
1850,New York,Kings,2593160,51735.99190177235,748,35.73309564392477,19.595038601551792,31.188201884958893,11.409231362507551,0.17191766030634423,1.8954131252988626,47.31782844097549,52.68217155902452
1867,New York,Queens,2298378,59872.79801103213,640,26.065357177975105,27.971394609589854,17.401704288850663,24.25410076149352,0.2190496080279223,4.045153625730841,48.47618624960733,51.52381375039267
1920,North Carolina,Durham,284360,56661.575,57,42.02516774511183,13.520080180053457,37.28476016317345,4.333285975523983,0.3373558165705444,2.46026304684203,47.95294696863131,52.047053031368684
1935,North Carolina,Hoke,51075,43777.714987763095,8,41.14581302006853,12.334635340186002,32.58406461086638,1.2804581497797358,7.780914341654429,4.773979441997063,49.34312285854136,50.65687714145864
1966,North Carolina,Robeson,134871,31157.719257661025,31,26.590424183108297,8.184752837896953,24.031891214567995,0.7335350075257097,37.60089641212714,2.8239191523752307,48.396616025683805,51.603383974316195
1971,North Carolina,Scotland,35932,32050.94486808416,7,44.81504508516086,2.6894606478904595,38.343003450962925,0.7570104642101748,10.353993654681064,3.0163892908827794,49.46565735277747,50.53434264722253
2130,Oklahoma,Adair,22236,32813.510028782155,5,41.794203094081674,6.098354020507285,0.2744648318042814,0.5832568807339449,38.51806080230257,12.666180967799962,49.91005576542544,50.08994423457457
2293,Pennsylvania,Philadelphia,1547969,40641.438537205846,373,35.86292645395353,13.359242594651452,41.45245079197322,6.80489861231072,0.18352389485835954,2.308668584448396,47.178141164325645,52.82185883567436
