,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
550,Idaho,Ada,417501,60972.339354875796,59,85.55591938701942,7.61407996627553,1.0959724647366114,2.5665069065702832,0.46283434051654965,2.5472568927978596,50.030778369393126,49.969221630606874
932,Kansas,Johnson,566814,85203.55420649455,127,80.99758492203793,7.320052609850852,4.424580373808692,4.446847113868043,0.26290176318862973,2.5246578242598097,48.92786698987675,51.07213301012325
1218,Massachusetts,Bristol,552763,64474.28445644878,125,84.19864137071403,6.750738381548693,3.327238436726046,2.071237944652589,0.03674630899680333,3.5605863634143393,48.42038993203236,51.57961006796765
1227,Massachusetts,Plymouth,501658,79352.07230025236,99,83.07817836055638,3.470309453851031,8.530571823832169,1.2692045178189124,0.09166224798567948,3.5462402672737205,48.50495756072862,51.49504243927138
1279,Michigan,Macomb,854582,58266.7103250478,212,81.39941363145962,2.431221930721684,10.211441031989912,3.450993234119135,0.2518207731967207,2.2361685595998972,48.63207977701379,51.36792022298621
1331,Minnesota,Dakota,408456,80293.66108711832,95,80.78992596509782,6.447934661260941,5.096482362849362,4.552096676263783,0.23786454354936645,2.869590114969542,49.09561862232407,50.90438137767593
1768,New Hampshire,Hillsborough,403972,77672.53731446734,85,86.46297193864919,5.846963650946107,2.0479609972968422,3.590256007842129,0.08461898349390554,1.9464641113740546,49.55813769271138,50.44186230728862
1787,New Jersey,Ocean,564228,67340.56886046067,117,84.89254822518555,8.9582069659783,2.945427557653999,1.8793057062038752,0.03783718638564552,1.280124524128544,48.26364519307798,51.73635480692202
2251,Pennsylvania,Bucks,626583,84543.76451483682,142,85.54130019486642,4.739556132228291,3.696750630004325,4.325036108544279,0.12143706420378465,1.5759198701528765,49.01601224418792,50.98398775581208
2257,Pennsylvania,Chester,506461,93219.23020726176,115,80.9487658477158,6.983065823429643,5.736987645643001,4.4765632496875405,0.0623631434602072,1.7720787977751506,49.2132661744932,50.7867338255068
2278,Pennsylvania,Lancaster,530216,59289.73196772636,98,83.42755933430905,9.574957187259535,3.4820488253843735,2.021824124507747,0.0914067097183035,1.3964218356292528,48.92779546448994,51.07220453551006
2309,Pennsylvania,York,439660,60518.21301232771,90,84.9780587271983,6.446418141291,5.211787290178778,1.3530662329982261,0.07286653323022337,1.9324521220943451,49.42978665332302,50.57021334667697
2551,Tennessee,Knox,438673,55856.98010818993,110,83.09896072929041,3.8038349750269576,8.960318506039808,1.95699803726238,0.17640862327975512,1.959676114098657,48.517688574405085,51.482311425594915
2877,Utah,Utah,551957,66930.53991887049,127,83.4177396065273,11.106429305181381,0.5472835746262842,1.4665546410318195,0.4360426627436559,2.2403857546874146,50.3095349818917,49.69046501810829
3034,Washington,Clark,444506,64125.1387472835,104,80.25480128502203,8.422773595856977,1.8057108340494843,4.142317539020846,0.5809496384750712,4.079696562026162,49.454000620914,50.54599937908599
3060,Washington,Spokane,480832,52712.97035139092,105,85.74106839810995,5.060438365167044,1.7250831891388259,2.290013143883934,1.2673420238253692,3.51425653866631,49.54765905763344,50.45234094236657
3135,Wisconsin,Dane,497940,66767.9063240551,102,81.02485299433665,6.202218741213802,5.060531188496604,5.138554845965375,0.19003936217214926,2.3625587420171104,49.567016106358196,50.432983893641804
