,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
104,Arizona,Mohave,203362,39249.579980527335,43,78.21948200745467,15.64560783233839,0.9786376019118618,1.1226005841799356,1.6986108515848586,2.187759758460281,50.3392964270611,49.6607035729389
105,Arizona,Navajo,107656,35227.29639778554,31,42.58133127740209,11.052061194917144,0.4643336181912759,0.5844049565282011,43.08732536969608,2.1376384038047114,50.144905996878954,49.85509400312105
328,Florida,Citrus,139654,38921.85402494737,27,88.86737293597031,5.066843771034128,2.7744003036074867,1.5983645294800013,0.3413686682801782,1.3516497916278813,48.248528506165236,51.751471493834764
415,Georgia,Clarke,113144,34542.39306547408,29,55.29252722194726,10.973146609630206,27.641159053948954,3.9741524075514385,0.16966432157250938,1.9438352895425286,47.998126281552715,52.001873718447285
507,Georgia,Richmond,201291,39875.099169858564,47,36.73359762731569,4.540677427207377,54.059314127308234,1.71363349578471,0.2733932465932406,2.4437823847067186,48.41051015693697,51.58948984306303
1583,Missouri,St. Louis city,316293,36397.351291365914,105,43.003058240302494,3.7410170316763254,47.62303338992642,2.802956435962858,0.20129342097359096,2.588495477294784,48.385515961466105,51.614484038533895
1829,New York,Bronx,1418542,37072.906736635225,327,10.273790835942814,54.78900039618143,29.429871868439545,3.6115087886012516,0.22482464389492882,1.6487717670678768,46.82568439989792,53.17431560010208
1966,North Carolina,Robeson,134871,31157.719257661025,31,26.590424183108297,8.184752837896953,24.031891214567995,0.7335350075257097,37.60089641212714,2.8239191523752307,48.396616025683805,51.603383974316195
2630,Texas,Cameron,417947,35038.62554343015,84,10.084274321863772,88.54481931919592,0.40088312632941503,0.6314142702304358,0.06709558867511911,0.27006007938805665,48.231713590479174,51.768286409520826
2707,Texas,Hidalgo,819217,36663.775905529306,112,7.275638567070749,91.03296794378042,0.4282496579050484,0.9982532100774276,0.06606588974594034,0.18979391296811496,48.73360782307984,51.266392176920164
