Yelp_id	Address	Name	Price	Rating	Review Count	Latitude	Longitude	City	Zipcode	Category1	Category2	Category3	County	Tract
the-tenderloin-la-verne	{'address1': '2080 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2080 Foothill Blvd', 'La Verne, CA 91750']}	The Tenderloin	2	3.0	126	-117.76683	34.11298	La Verne	91750	Steakhouses			Los Angeles County	401602.0
red-devil-pizza-la-verne	{'address1': '1465 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1465 Foothill Blvd', 'La Verne, CA 91750']}	Red Devil Pizza	2	4.0	243	-117.7761212	34.1172187	La Verne	91750	Italian	Pizza		Los Angeles County	401601.0
papalitos-tacos-la-verne	{'address1': 'La Verne Ca', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['La Verne Ca', 'La Verne, CA 91750']}	Papalito's Tacos	1	5.0	4	-117.752052307129	34.1477661132812	La Verne	91750	Street Vendors	Caterers	Mexican	Los Angeles County	400205.0
bangkok-blue-thai-cuisine-la-verne-3	{'address1': '2300 Foothill Blvd', 'address2': 'Ste C', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2300 Foothill Blvd', 'Ste C', 'La Verne, CA 91750']}	Bangkok Blue Thai Cuisine	2	4.0	216	-117.76212	34.11193	La Verne	91750	Thai	Seafood	Chicken Wings	Los Angeles County	401602.0
mi-ranchito-restaurant-and-cantina-la-verne	{'address1': '1437 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1437 Foothill Blvd', 'La Verne, CA 91750']}	Mi Ranchito Restaurant & Cantina	2	3.0	125	-117.7765097	34.117354999999996	La Verne	91750	Mexican			Los Angeles County	401601.0
rubios-coastal-grill-la-verne	{'address1': '2204 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2204 Foothill Blvd', 'La Verne, CA 91750']}	Rubio's Coastal Grill	1	3.5	95	-117.7628682	34.112350299999996	La Verne	91750	Mexican	Seafood	Salad	Los Angeles County	401602.0
panera-bread-la-verne-2	{'address1': '2315 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2315 Foothill Blvd', 'La Verne, CA 91750']}	Panera Bread	2	2.5	194	-117.76125490665399	34.1124396793997	La Verne	91750	Sandwiches	Salad	Soup	Los Angeles County	401601.0
sidekick-cafe-san-dimas	{'address1': '425 W Allen Ave', 'address2': 'Ste 103', 'address3': '', 'city': 'San Dimas', 'zip_code': '91773', 'country': 'US', 'state': 'CA', 'display_address': ['425 W Allen Ave', 'Ste 103', 'San Dimas, CA 91773']}	Sidekick Cafe	1	4.0	8	-117.8143929	34.117674900000004	San Dimas	91773	Cafes			Los Angeles County	401311.0
pizzan-stuff-la-verne	{'address1': '1532 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1532 Foothill Blvd', 'La Verne, CA 91750']}	Pizza'n Stuff	2	4.0	124	-117.77383789999999	34.1160083	La Verne	91750	Pizza	Italian	Sandwiches	Los Angeles County	401603.0
pizza-barn-la-verne	{'address1': '2021 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2021 Foothill Blvd', 'La Verne, CA 91750']}	Pizza Barn	1	4.0	97	-117.76618	34.113910499999996	La Verne	91750	Pizza	Italian	Sandwiches	Los Angeles County	401601.0
chilis-la-verne	{'address1': '1912 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1912 Foothill Blvd', 'La Verne, CA 91750']}	Chili's	2	2.5	144	-117.76906090000001	34.1144324	La Verne	91750	American (Traditional)	Bars	Tex-Mex	Los Angeles County	401602.0
jimmy-johns-la-verne-5	{'address1': '2320 Foothill Blvd', 'address2': 'Ste C', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2320 Foothill Blvd', 'Ste C', 'La Verne, CA 91750']}	Jimmy John's	1	3.0	96	-117.76172	34.1108	La Verne	91750	Sandwiches			Los Angeles County	401602.0
albertos-mexican-food-la-verne	{'address1': '1351 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['1351 Foothill Blvd', 'La Verne, CA 91750']}	Alberto's Mexican Food	1	2.5	34	-117.77823597192801	34.1184203799555	La Verne	91750	Mexican			Los Angeles County	401601.0
chile-bandido-san-dimas-3	{'address1': '714 E Foothill Blvd', 'address2': '', 'address3': '', 'city': 'San Dimas', 'zip_code': '91773', 'country': 'US', 'state': 'CA', 'display_address': ['714 E Foothill Blvd', 'San Dimas, CA 91773']}	Chile Bandido	1	3.5	54	-117.79331669211399	34.1222148388624	San Dimas	91773	Mexican	Fast Food		Los Angeles County	400302.0
sergios-mexican-restaurant-la-verne	{'address1': '2091 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2091 Foothill Blvd', 'La Verne, CA 91750']}	Sergio's Mexican Restaurant	2	3.5	60	-117.76541170000002	34.1136422	La Verne	91750	Mexican	Desserts	Seafood	Los Angeles County	401601.0
in-n-out-burger-la-verne	{'address1': '2098 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2098 Foothill Blvd', 'La Verne, CA 91750']}	In-N-Out Burger	1	4.0	95	-117.765611148549	34.1131465521369	La Verne	91750	Fast Food	Burgers		Los Angeles County	401602.0
ranch-town-liquor-store-san-dimas	{'address1': '1112 N San Dimas Ave', 'address2': '', 'address3': '', 'city': 'San Dimas', 'zip_code': '91773', 'country': 'US', 'state': 'CA', 'display_address': ['1112 N San Dimas Ave', 'San Dimas, CA 91773']}	Ranch Town Liquor Store	1	3.5	36	-117.80672	34.121959999999994	San Dimas	91773	Convenience Stores	Beer, Wine & Spirits	Delis	Los Angeles County	400403.0
star-wok-claremont	{'address1': '2062 N Mills Ave', 'address2': '', 'address3': '', 'city': 'Claremont', 'zip_code': '91711', 'country': 'US', 'state': 'CA', 'display_address': ['2062 N Mills Ave', 'Claremont, CA 91711']}	Star Wok	1	3.0	51	-117.707105800509	34.1209555417299	Claremont	91711	Chinese			Los Angeles County	401800.0
stater-bros-markets-la-verne-3	{'address1': '2090 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2090 Foothill Blvd', 'La Verne, CA 91750']}	Stater Bros. Markets	2	3.0	28	-117.76607299999999	34.112576000000004	La Verne	91750	Grocery	Delis	Butcher	Los Angeles County	401602.0
sals-pizza-and-bagelry-la-verne-2	{'address1': '2095 Foothill Blvd', 'address2': '', 'address3': '', 'city': 'La Verne', 'zip_code': '91750', 'country': 'US', 'state': 'CA', 'display_address': ['2095 Foothill Blvd', 'La Verne, CA 91750']}	Sal's Pizza and Bagelry	1	3.5	209	-117.765311721095	34.1138259407899	La Verne	91750	Bagels	Pizza	Italian	Los Angeles County	401601.0
kosmos-burgers-ii-san-dimas	{'address1': '416 E Foothill Blvd', 'address2': '', 'address3': '', 'city': 'San Dimas', 'zip_code': '91773', 'country': 'US', 'state': 'CA', 'display_address': ['416 E Foothill Blvd', 'San Dimas, CA 91773']}	Kosmos Burgers II	1	3.0	161	-117.80021667480499	34.123138427734396	San Dimas	91773	Burgers	Fast Food		Los Angeles County	400403.0
