,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,Latitude,Longitude,city,zipcode,category1,category2,category3,CensusTract
35,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 34.0047569274902, 'longitude': -118.259078979492}",(323) 561-1675,54768.50015867297,fettes-schwein-food-truck-los-angeles-3,https://s3-media3.fl.yelpcdn.com/bphoto/3LOYvPYvUvoeORHQ2U6-sg/o.jpg,False,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90011', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90011']}",Fettes Schwein Food Truck,13235611675.0,$,4.5,14,[],https://www.yelp.com/biz/fettes-schwein-food-truck-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.259078979492,34.0047569274902,Los Angeles,90011,Food Trucks,Hot Dogs,Burgers,6037228600
45,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'catering', 'title': 'Caterers'}]","{'latitude': 34.10161, 'longitude': -118.30206}",(323) 477-6764,53442.06954885284,the-tropic-truck-los-angeles-5,https://s3-media2.fl.yelpcdn.com/bphoto/Fq9EuTM2N7AvO7czpCgW8A/o.jpg,False,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90027', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90027']}",The Tropic Truck,13234776764.0,$$,4.0,50,[],https://www.yelp.com/biz/the-tropic-truck-los-angeles-5?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.30206,34.10161,Los Angeles,90027,Food Trucks,Caribbean,Caterers,6037190520
47,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'catering', 'title': 'Caterers'}]","{'latitude': 34.1463062227897, 'longitude': -118.425396788406}",(818) 373-9767,64863.57344000237,okamoto-kitchen-los-angeles-2,https://s3-media3.fl.yelpcdn.com/bphoto/9bs7YTPt4K1_n8H7P9IGoA/o.jpg,False,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '91423', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 91423']}",Okamoto Kitchen,18183739767.0,$$,4.5,168,"['delivery', 'pickup', 'restaurant_reservation']",https://www.yelp.com/biz/okamoto-kitchen-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.42539678840599,34.1463062227897,Los Angeles,91423,Food Trucks,Japanese,Caterers,6037141102
53,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'catering', 'title': 'Caterers'}]","{'latitude': 34.0569114685059, 'longitude': -118.243949890137}",(888) 907-2248,50926.77778930977,white-rabbit-truck-los-angeles-4,https://s3-media1.fl.yelpcdn.com/bphoto/-_twM9Xjj7OSFHM9PoqlhA/o.jpg,False,"{'address1': None, 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90012']}",White Rabbit Truck,18889072248.0,$,3.5,569,[],https://www.yelp.com/biz/white-rabbit-truck-los-angeles-4?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.243949890137,34.056911468505895,Los Angeles,90012,Filipino,Food Trucks,Caterers,6037207400
72,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}]","{'latitude': 34.21332, 'longitude': -118.35861}",(818) 282-4301,58069.947810786725,shawarma-and-falafel-palace-food-truck-los-angeles,https://s3-media4.fl.yelpcdn.com/bphoto/jKyVheL-OV7wYyLcoFKTcA/o.jpg,False,"{'address1': '7782 San Fernando Rd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '91352', 'country': 'US', 'state': 'CA', 'display_address': ['7782 San Fernando Rd', 'Los Angeles, CA 91352']}",Shawarma and Falafel Palace Food Truck,18182824301.0,$,1.0,1,[],https://www.yelp.com/biz/shawarma-and-falafel-palace-food-truck-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.35861,34.21332,Los Angeles,91352,Food Trucks,Middle Eastern,,6037122200
964,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 34.029109954834, 'longitude': -118.283065795898}",(562) 794-6484,51357.8062292507,urban-espresso-los-angeles-6,https://s3-media3.fl.yelpcdn.com/bphoto/bUKrBN-6tQFdtorQvviP-g/o.jpg,False,"{'address1': '', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90007', 'country': 'US', 'state': 'CA', 'display_address': ['Los Angeles, CA 90007']}",Urban Espresso,15627946484.0,$,4.5,25,[],https://www.yelp.com/biz/urban-espresso-los-angeles-6?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.283065795898,34.029109954834,Los Angeles,90007,Food Trucks,Coffee & Tea,Breakfast & Brunch,6037224700
1473,"[{'alias': 'french', 'title': 'French'}]","{'latitude': 34.13904, 'longitude': -118.20416}",(323) 255-5111,12323.773751785478,cafe-beaujolais-los-angeles,https://s3-media2.fl.yelpcdn.com/bphoto/MZ0MtLsTi7QIvkIaCVw4gw/o.jpg,False,"{'address1': '1712 Colorado Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['1712 Colorado Blvd', 'Los Angeles, CA 90041']}",Cafe Beaujolais,13232555111.0,$$,4.5,1261,[],https://www.yelp.com/biz/cafe-beaujolais-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.20416000000002,34.13904,Los Angeles,90041,French,,,6037181400
1480,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 34.12768, 'longitude': -118.21722}",(323) 474-6420,14061.60486765012,rockn-egg-cafe-los-angeles-3,https://s3-media2.fl.yelpcdn.com/bphoto/YwVMqfGN4wfW05AgmotecQ/o.jpg,False,"{'address1': '4616 Eagle Rock Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['4616 Eagle Rock Blvd', 'Los Angeles, CA 90041']}",Rock'n Egg Cafe,13234746420.0,$$,4.0,33,[],https://www.yelp.com/biz/rockn-egg-cafe-los-angeles-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.21722,34.12768,Los Angeles,90041,Breakfast & Brunch,Diners,Sandwiches,6037183402
1487,"[{'alias': 'vegan', 'title': 'Vegan'}]","{'latitude': 34.1343840632986, 'longitude': -118.215345190702}",(323) 775-6614,13367.367100274249,the-vegan-hooligans-los-angeles,https://s3-media1.fl.yelpcdn.com/bphoto/cXOsCIOlJWyNA8lsXeSdFw/o.jpg,False,"{'address1': '4862 Eagle Rock Blvd', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['4862 Eagle Rock Blvd', 'Los Angeles, CA 90041']}",The Vegan Hooligans,13237756614.0,,5.0,4,[],https://www.yelp.com/biz/the-vegan-hooligans-los-angeles?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.215345190702,34.134384063298604,Los Angeles,90041,Vegan,,,6037181600
1498,"[{'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 34.1397743225098, 'longitude': -118.202598571777}",(323) 739-0004,12183.842338204644,red-herring-los-angeles-2,https://s3-media3.fl.yelpcdn.com/bphoto/jderj5Iof447l9DaYBMagg/o.jpg,False,"{'address1': '1661 Colorado Blvd', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90041', 'country': 'US', 'state': 'CA', 'display_address': ['1661 Colorado Blvd', 'Los Angeles, CA 90041']}",Red Herring,13237390004.0,$$$,4.5,160,[],https://www.yelp.com/biz/red-herring-los-angeles-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,-118.202598571777,34.1397743225098,Los Angeles,90041,American (New),,,6037181000
