,Unnamed: 0,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,city,zipcode,category1,category2,category3
0,0,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 33.889376956228, 'longitude': -117.870076149702}",(714) 986-9888,2140.426602671437,mr-katsu-fullerton-3,https://s3-media2.fl.yelpcdn.com/bphoto/sE2LICZmADkKsiVmzp92FA/o.jpg,False,"{'address1': '3165 Yorba Linda Blvd', 'address2': '', 'address3': '', 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['3165 Yorba Linda Blvd', 'Fullerton, CA 92831']}",Mr Katsu,17149869888.0,$,4.5,627,[],https://www.yelp.com/biz/mr-katsu-fullerton-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Fullerton,92831,Sandwiches,Asian Fusion,
1,1,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 33.873722, 'longitude': -117.8897449}",(714) 519-3485,2545.924960965202,zzaam-fresh-korean-grill-fullerton-3,https://s3-media2.fl.yelpcdn.com/bphoto/ZOcXjgHbrbnsMF3Z8GJGoQ/o.jpg,False,"{'address1': '349 N State College Blvd', 'address2': None, 'address3': None, 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['349 N State College Blvd', 'Fullerton, CA 92831']}",ZZAAM Fresh Korean Grill,17145193485.0,$,4.5,241,"['delivery', 'pickup']",https://www.yelp.com/biz/zzaam-fresh-korean-grill-fullerton-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Fullerton,92831,Korean,Asian Fusion,
2,2,"[{'alias': 'poke', 'title': 'Poke'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]","{'latitude': 33.8771903, 'longitude': -117.8431781}",(657) 444-2229,2032.7543751116598,bigeye-poke-and-grill-placentia-3,https://s3-media3.fl.yelpcdn.com/bphoto/b--GotvLrtU7hrBtR5AJkg/o.jpg,False,"{'address1': '660 N Rose Dr', 'address2': None, 'address3': '', 'city': 'Placentia', 'zip_code': '92870', 'country': 'US', 'state': 'CA', 'display_address': ['660 N Rose Dr', 'Placentia, CA 92870']}",Bigeye Poke and Grill,16574442229.0,$$,4.5,17,[],https://www.yelp.com/biz/bigeye-poke-and-grill-placentia-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Placentia,92870,Poke,Hawaiian,
3,3,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 33.87821595389, 'longitude': -117.878588140011}",(714) 983-7785,1658.4914648110682,baja-california-fish-tacos-fullerton-2,https://s3-media4.fl.yelpcdn.com/bphoto/ZsS4oq5CgH_uaJZzywPFnQ/o.jpg,False,"{'address1': '2931 Nutwood Ave', 'address2': '', 'address3': None, 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['2931 Nutwood Ave', 'Fullerton, CA 92831']}",Baja California Fish Tacos,17149837785.0,$,4.5,345,[],https://www.yelp.com/biz/baja-california-fish-tacos-fullerton-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Fullerton,92831,Tacos,Seafood,
4,4,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'izakaya', 'title': 'Izakaya'}]","{'latitude': 33.8742549, 'longitude': -117.9034041}",(714) 213-8228,3781.585572886642,huntington-ramen-fullerton-4,https://s3-media3.fl.yelpcdn.com/bphoto/O-H6pPzbkvipruNOph-lvg/o.jpg,False,"{'address1': '1325 E Chapman Ave', 'address2': '', 'address3': None, 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['1325 E Chapman Ave', 'Fullerton, CA 92831']}",Huntington Ramen,17142138228.0,$$,4.5,95,[],https://www.yelp.com/biz/huntington-ramen-fullerton-4?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Fullerton,92831,Sushi Bars,Ramen,Izakaya
5,5,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 33.8732328828398, 'longitude': -117.879818014227}",(714) 646-9560,1588.956206259242,leadbellys-barbecue-fullerton-2,https://s3-media4.fl.yelpcdn.com/bphoto/SsIYq42aXRFrmjpuGRenNg/o.jpg,False,"{'address1': '711 N Placentia Ave', 'address2': '', 'address3': '', 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['711 N Placentia Ave', 'Fullerton, CA 92831']}",Leadbellys Barbecue,17146469560.0,$$,4.5,771,[],https://www.yelp.com/biz/leadbellys-barbecue-fullerton-2?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Fullerton,92831,Barbeque,,
6,6,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'halal', 'title': 'Halal'}]","{'latitude': 33.8424195259131, 'longitude': -117.851911864822}",(714) 790-4034,3343.8496712980077,spicewood-grill-and-curry-orange,https://s3-media4.fl.yelpcdn.com/bphoto/NOQSOZnCQhUkhA8H8IVRrw/o.jpg,False,"{'address1': '3203 N Glassell St', 'address2': '', 'address3': None, 'city': 'Orange', 'zip_code': '92865', 'country': 'US', 'state': 'CA', 'display_address': ['3203 N Glassell St', 'Orange, CA 92865']}",Spicewood Grill & Curry,17147904034.0,$$,5.0,35,[],https://www.yelp.com/biz/spicewood-grill-and-curry-orange?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Orange,92865,Mediterranean,Pakistani,Halal
7,7,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'desserts', 'title': 'Desserts'}]","{'latitude': 33.869873, 'longitude': -117.924963}",(714) 519-3360,5740.819554351314,js-korean-cuisine-chicken-and-bibimbap-fullerton,https://s3-media1.fl.yelpcdn.com/bphoto/MPeg3ZBU-DJt-Q4AofTssA/o.jpg,False,"{'address1': '114 W Commonwealth Ave', 'address2': '', 'address3': None, 'city': 'Fullerton', 'zip_code': '92832', 'country': 'US', 'state': 'CA', 'display_address': ['114 W Commonwealth Ave', 'Fullerton, CA 92832']}",J's Korean Cuisine: Chicken & Bibimbap,17145193360.0,$$,4.5,229,"['pickup', 'delivery']",https://www.yelp.com/biz/js-korean-cuisine-chicken-and-bibimbap-fullerton?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Fullerton,92832,Chicken Wings,Korean,Desserts
8,8,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 33.87257, 'longitude': -117.89025}",(714) 441-0000,2525.1409596109893,mr-bbq-fullerton,https://s3-media3.fl.yelpcdn.com/bphoto/lO0Np5ZUZrLh_PKiPvuG3g/o.jpg,False,"{'address1': '305 N State College Blvd', 'address2': None, 'address3': '', 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['305 N State College Blvd', 'Fullerton, CA 92831']}",Mr BBQ,17144410000.0,$$,4.5,2462,[],https://www.yelp.com/biz/mr-bbq-fullerton?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Fullerton,92831,Korean,Barbeque,
9,9,"[{'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 33.8743449, 'longitude': -117.890335}",(657) 217-5664,2591.881658476528,noodle-st-fullerton-3,https://s3-media4.fl.yelpcdn.com/bphoto/HA1NuW3Bh7MMm8DuFx_Q6A/o.jpg,False,"{'address1': '2323 E Chapman Ave', 'address2': 'Ste B', 'address3': None, 'city': 'Fullerton', 'zip_code': '92831', 'country': 'US', 'state': 'CA', 'display_address': ['2323 E Chapman Ave', 'Ste B', 'Fullerton, CA 92831']}",Noodle St,16572175664.0,$$,4.0,372,['pickup'],https://www.yelp.com/biz/noodle-st-fullerton-3?adjust_creative=5MEFFxLfcqnRxBnn4-zRyQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=5MEFFxLfcqnRxBnn4-zRyQ,Fullerton,92831,Noodles,Asian Fusion,
