,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
103,Arizona,Maricopa,3927955,60542.257609621294,881,56.649206164530895,30.60532994904473,4.989238318667086,3.7783299961430314,1.591300256749377,2.199674461647345,49.478698203008946,50.52130179699106
106,Arizona,Pima,984521,50102.167732328715,236,53.33512682817331,36.02094023388024,3.225417233355103,2.6421902630822505,2.4535762060941297,2.187660598402676,49.0030177111509,50.99698228884909
186,California,Alameda,1583546,83129.49433297169,358,32.97243982808203,22.6087903982581,11.325217202405243,27.512088376340206,0.3044554436688295,4.439316571795197,49.00514415116454,50.99485584883546
192,California,Contra Costa,1091622,89623.16684163566,205,45.82502981801391,25.00871418861107,8.614935847756822,15.111731991476901,0.2809285631839594,4.684201307778698,48.83283774053656,51.16716225946344
195,California,Fresno,952564,49110.379525155266,198,31.203414048819823,51.65615087280225,4.6872610134332175,9.611999193754965,0.47870095867574247,2.2272276718414727,49.67508744819246,50.32491255180754
200,California,Kern,846046,52381.82478730471,146,36.82261307304803,51.0982895729074,4.977371088569651,4.479589644061907,0.5483596636589502,1.9643740411277884,50.28390891275415,49.71609108724584
204,California,Los Angeles,9995004,61385.25142821354,2301,26.91140419753703,48.32544952458242,7.970062703326596,13.931268031508527,0.18642984034823806,2.429807351752936,49.203331984659535,50.796668015340465
215,California,Orange,3104983,80007.39887239318,576,42.245860379911946,34.26011488629727,1.5487014260625576,18.82118517235039,0.20506830472179732,2.631445840444216,49.44407103034059,50.55592896965941
218,California,Riverside,2274664,61761.89218539529,445,37.450606683009,47.28116372352138,5.901659409917238,6.073616191226486,0.44588633749863715,2.5876224796277616,49.65093745713653,50.34906254286348
219,California,Sacramento,1457103,60477.50614815837,315,46.954418802239786,22.275577979044716,9.396385361913328,14.837483417438571,0.43468807627189027,5.09986912387113,48.65236019691127,51.34763980308873
221,California,San Bernardino,2086484,57756.27574953846,366,31.192089658966953,51.13666296985746,8.029470055845147,6.541982061688463,0.3556232398618922,2.4285895794072707,49.59827154198163,50.40172845801837
222,California,San Diego,3209962,69943.33241172326,620,46.95544149743836,32.980270046810546,4.715763862625169,11.27189100680943,0.36158104052322143,3.2958486112919716,50.11501693789522,49.88498306210479
223,California,San Francisco,840198,85425.17429105997,193,41.25369448629966,15.29275194656497,5.317031699670786,33.540151012023365,0.1790531517570858,4.017023130262151,50.89264673327002,49.10735326672999
228,California,Santa Clara,1868149,100743.84732855891,372,33.58126444946308,26.609013574399036,2.4111767316204435,33.51361181575987,0.18826608584218926,3.363188268173468,50.263870815443525,49.736129184556475
241,California,Ventura,840723,81336.64873686101,172,47.00113616494371,41.60112986084597,1.6005786685983379,6.928504751267655,0.2692298176688397,2.4551097091432035,49.52630057700336,50.47369942299663
308,Connecticut,Fairfield,910577,96820.2277929269,203,63.219301607661905,18.752389309196253,10.692397567696082,5.057018022638391,0.14436747249271614,2.102933744208343,48.66529683925687,51.33470316074313
309,Connecticut,Hartford,893876,73004.05973871096,221,63.895335147156885,16.594461647924323,12.525863990083641,4.731761899860832,0.11196038376687592,2.10979285717482,48.40682600271178,51.59317399728821
312,Connecticut,New Haven,862224,67860.08116336357,189,65.41220587689507,16.382925318710686,12.184209207816064,3.87405407411531,0.11623035313329248,2.018960502143294,48.210093896713616,51.789906103286384
325,Florida,Broward,1825516,59496.9118249306,356,40.07904811571087,26.979279118890226,27.12820358736925,3.459272337246018,0.17219060254744417,2.13815414381468,48.62597753183209,51.3740224681679
334,Florida,Duval,890673,51039.30702962816,173,55.20584524286692,8.397006533261926,28.96021469158715,4.309395479598013,0.2060684448725852,2.822197596648825,48.472559513985495,51.527440486014505
347,Florida,Hillsborough,1278391,55919.72935745011,302,51.257401843410975,26.402455508525964,15.78979271600003,3.690176166759619,0.16791192991815498,2.6326981338260333,48.8203530844632,51.17964691553679
362,Florida,Miami-Dade,2627074,49421.742201780384,505,15.007064665860185,65.76550203762815,16.818704992702905,1.5183190119501762,0.09362964271276714,0.7762669037872545,48.431106242153824,51.568893757846176
367,Florida,Orange,1229039,52422.78052689947,206,43.52012076101737,28.718578580500687,19.884417744270124,5.09670433566388,0.13990027981211337,2.6072109184492938,49.1396936956435,50.8603063043565
369,Florida,Palm Beach,1350726,60264.11285338403,316,57.018212502017384,20.648818783380197,17.79420415391427,2.525724388217891,0.10065905298335856,1.8766521855653928,48.43876552313348,51.56123447686652
371,Florida,Pinellas,930036,48992.10512173722,243,75.4205492045469,8.714700506216968,10.14266125182251,3.161823413287226,0.2533085816032927,2.2355669027865583,47.969540964005695,52.030459035994305
446,Georgia,Fulton,979475,68791.44005513158,200,40.53121263942418,7.616824217055056,43.410720539064286,6.312102095510353,0.19201041374205569,1.9070093672630746,48.49128359580387,51.50871640419613
453,Georgia,Gwinnett,859234,64434.01559994134,113,41.22914142131248,20.35485548756217,24.74979365341688,10.981680892515895,0.18495334216290327,2.4587347567717277,49.04310118081919,50.95689881918081
547,Hawaii,Honolulu,982103,79446.84654359064,229,19.41404913741227,9.247478930417687,2.443274890719202,41.68554968267076,0.12364497410149441,18.498969456360477,50.57086680317645,49.42913319682355
609,Illinois,Cook,5235764,59825.22053782409,1313,43.087697974927856,24.733981783747254,23.656623904362384,6.7265020157516755,0.10233285915866332,1.6760994384009673,48.4561565418151,51.5438434581849
615,Illinois,DuPage,930412,84459.58270099698,216,68.57447883303313,13.922736056714665,4.570784233221412,10.76738369668491,0.06277541562232646,2.0680286797676706,49.03999518492883,50.96000481507117
744,Indiana,Marion,926335,46758.96642467358,224,58.09523692832506,9.69665941587007,26.836386080629598,2.4085850151403108,0.19903328709376195,2.747562814748444,48.186887033308686,51.81311296669131
1047,Kentucky,Jefferson,755809,54235.97543294668,190,69.51610565632322,4.672257805874234,20.487683660819084,2.4343958592713233,0.13554403295012368,2.727722083224727,48.255445489535056,51.744554510464944
1194,Maryland,Baltimore,814661,72760.76234163658,209,60.262141185106444,4.828549298419831,26.721794832451767,5.60103945076541,0.21600187071677676,2.321648636672187,47.31968266555045,52.68031733444955
1207,Maryland,Montgomery,1007944,109337.04789948648,211,46.15483161762954,18.440219694744943,17.27953418047035,14.56365323867199,0.1537770947592327,3.373844181819622,48.18739929996111,51.81260070003889
1208,Maryland,Prince George's,892816,78819.255555456,218,14.302839442841526,16.237888209888716,62.562767020304264,4.250597323524667,0.23228604774107983,2.387091853192594,48.1177532660705,51.882246733929506
1220,Massachusetts,Essex,763849,75198.37043577984,162,73.59512783285706,18.179333611747882,2.93736523841754,3.4326732115902465,0.09737094635196222,1.73832668498617,48.1496997443212,51.8503002556788
1224,Massachusetts,Middlesex,1556116,92672.4493958034,317,74.73008824534936,7.306496302332216,4.579893979626197,10.460802022471329,0.09001796781216823,2.81272302321935,48.74585185166144,51.25414814833855
1228,Massachusetts,Suffolk,754384,57413.69740079323,191,46.436936096205606,21.3829195741161,20.090162039491823,8.491084513987568,0.16192681711170973,3.4263794035928665,48.32724448026469,51.672755519735304
1229,Massachusetts,Worcester,809520,71057.63759017689,171,79.04448253285905,10.209317990908191,4.17927018480087,4.4283863277003634,0.16466498665876078,1.9608013390651264,49.30996145864216,50.69003854135784
1279,Michigan,Macomb,854582,58266.7103250478,212,81.39941363145962,2.431221930721684,10.211441031989912,3.450993234119135,0.2518207731967207,2.2361685595998972,48.63207977701379,51.36792022298621
1292,Michigan,Oakland,1229503,75869.98215783125,337,73.5484828422541,3.7040270743544363,13.763181871048708,6.253414103096948,0.2086778966785766,2.508618848429,48.56409459757317,51.435905402426826
1311,Michigan,Wayne,1776525,46937.233379209414,600,49.89464094228906,5.556497375494287,39.1744641364462,2.901352359240653,0.2837577292748482,2.1755526097296674,48.0771168432755,51.92288315672451
