,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
17,Alabama,Conecuh,12865,24856.28410415857,5,50.9689156626506,1.6499883404586086,44.68136027982899,0.04036533229692966,0.28336572094830936,2.37600466381655,48.0062184220754,51.9937815779246
31,Alabama,Greene,8697,20598.498792687133,3,17.768747844084164,0.7152466367713005,80.63618489134184,0.17794641830516272,0.07906174542945843,0.6228124640680661,47.08520179372198,52.91479820627802
52,Alabama,Perry,10038,24035.6303048416,3,29.987118947997605,0.9169555688384141,68.00152420800957,0.4508866308029488,0.05362622036262204,0.589888423988854,46.333931061964535,53.66606893803546
59,Alabama,Sumter,13341,19387.04444944157,4,24.822487069934784,0.411933138445394,72.3805261974365,1.6978412412862602,0.39735402143767345,0.28985833145940715,44.262049321640056,55.73795067835994
65,Alabama,Wilcox,11235,24888.263818424566,4,27.34318647085002,0.5938851802403204,72.0355140186916,0.0,0.02741433021806854,3.0356966013782653e-15,47.85046728971963,52.149532710280376
416,Georgia,Clay,3104,20438.0,1,31.6,4.9,61.1,0.0,0.0,2.400000000000003,48.646907216494846,51.35309278350515
418,Georgia,Clinch,6791,24025.643646002063,2,66.14657635105287,4.19976439405095,26.396922397290528,0.39125312914151084,0.8482255926962156,2.0172581357679378,49.462523928729205,50.5374760712708
468,Georgia,Jenkins,8922,24297.092804303968,2,56.37915265635507,7.776395427034297,33.42084734364492,0.22360457296570274,0.0,2.200000000000005,49.80945976238512,50.19054023761489
514,Georgia,Stewart,5868,24798.63445807771,2,27.327283571915473,21.791973415132926,48.71165644171779,1.6690865712338108,0.0,0.4999999999999947,60.73619631901841,39.263803680981596
998,Kentucky,Bell,27950,23931.548586762074,9,94.58718067978535,0.4558354203935599,3.2025080500894454,0.32927012522361365,0.03401788908765654,1.3911878354203882,48.590339892665476,51.40966010733452
1017,Kentucky,Clay,21300,23491.751126760562,6,92.7267511737089,1.7817605633802815,3.831455399061033,0.057737089201877936,0.2700234741784038,1.2875774647887357,53.59154929577464,46.40845070422535
1056,Kentucky,Lee,7119,22622.78761061947,3,96.4384745048462,0.7709228824273073,0.929063070655991,0.24115746593622697,0.47405534485180506,1.1463267312824745,52.704031465093415,47.29596853490659
1071,Kentucky,McCreary,18001,20306.094828065106,4,89.89035053608133,2.240986611854897,5.592994833620355,0.0,0.4643630909393923,1.8113049275040296,54.79140047775124,45.20859952224877
1086,Kentucky,Owsley,4616,20970.473570190643,2,95.57707972270363,0.5108318890814558,1.0911828422876948,0.8614601386481803,0.2554159445407279,1.7040294627383075,46.70710571923743,53.29289428076257
1110,Kentucky,Wolfe,7261,21518.77303401735,2,98.35700316760776,0.49066244318964325,0.3663407244181242,0.0,0.26167194601294586,0.5243217187715229,48.97397052747555,51.02602947252445
1129,Louisiana,East Carroll,7501,24933.77176376483,3,28.109212105052663,1.3199573390214638,69.72555659245432,0.17397680309292096,0.0,0.6712971603786198,56.95240634582056,43.047593654179444
1165,Louisiana,Tensas,4893,24415.31330472103,3,41.71972205191089,1.6492744737379932,56.125485387287966,0.0,0.0,0.5055180870631529,48.27304312282853,51.72695687717147
1410,Mississippi,Claiborne,9330,23055.949624866025,3,13.63368703108253,1.0907181136120043,84.17377277599142,0.9184030010718115,0.18363344051446948,-0.00021436227225207587,46.39871382636656,53.60128617363345
1425,Mississippi,Holmes,18772,21639.373535052204,5,16.29072554868954,0.3207756232686981,82.5387864905178,0.38765182186234814,0.05607287449392712,0.40598764116769653,47.6507564457703,52.34924355422971
1426,Mississippi,Humphreys,8984,23429.51803205699,3,21.989325467497775,2.609572573463936,75.04742876224398,0.10201469278717723,0.12132680320569902,0.130331700801433,47.6179875333927,52.3820124666073
1427,Mississippi,Issaquena,1291,23491.0,1,34.3,0.5,65.1,0.0,0.0,0.10000000000001297,65.45313710302091,34.546862896979086
1431,Mississippi,Jefferson,7586,20682.429738992883,2,13.832296335354599,0.09491167940943844,85.95415238597417,0.11863959926179804,0.0,-1.4986400965148437e-14,48.54996045346691,51.45003954653309
1459,Mississippi,Quitman,7761,24503.06545548254,3,28.314907872696814,0.9515268650947045,70.25816260791136,0.0,0.0,0.47540265429712025,48.331400592707126,51.668599407292874
1812,New Mexico,Mora,4660,23822.0,1,17.5,82.4,0.1,0.0,0.0,-3.1257781294167498e-15,47.76824034334764,52.231759656652365
2623,Texas,Brooks,7221,23405.120066472788,2,5.140008309098463,92.85882841711674,0.07411715828832571,1.852928957208143,0.0,0.07411715828833547,51.84877440797674,48.151225592023266
