,State,County,TotalPop,Income,CensusTract,White Population %,Hispanic Population %,Black  Population %,Asian Population %,Native Population %,Other Population %,% Men,% Women
68,Alaska,Aleutians West Census Area,5684,84316.85432793807,2,27.781896551724135,10.96905348346235,4.612843068261787,36.74275158339198,12.937244897959186,4.537684729064042,59.693877551020414,40.30612244897959
69,Alaska,Anchorage Municipality,299107,83256.52855332707,55,60.334924291307125,8.593109823574844,5.524161253330747,8.699109348828346,6.289433212863621,8.464022908190046,51.193051316084215,48.80694868391579
71,Alaska,Bristol Bay Borough,970,79750.0,1,53.400000000000006,7.1,0.5000000000000001,0.7,28.999999999999996,9.100000000000001,57.01030927835051,42.98969072164949
72,Alaska,Denali Borough,2060,81544.0,1,84.7,2.6,0.6,2.9,3.5000000000000004,5.70000000000001,54.66019417475728,45.33980582524272
77,Alaska,Juneau City and Borough,32531,84907.27973317758,6,66.01315975531031,6.11166579570256,1.2332821001506258,6.250717776889737,11.776115090221634,7.529977559865972,51.16657957025607,48.83342042974393
186,California,Alameda,1583546,83129.49433297169,358,32.97243982808203,22.6087903982581,11.325217202405243,27.512088376340206,0.3044554436688295,4.439316571795197,49.00514415116454,50.99485584883546
192,California,Contra Costa,1091622,89623.16684163566,205,45.82502981801391,25.00871418861107,8.614935847756822,15.111731991476901,0.2809285631839594,4.684201307778698,48.83283774053656,51.16716225946344
194,California,El Dorado,182093,77320.7767624236,42,78.97477552679128,12.483782462807467,0.8511293679603281,3.8738062418654198,0.5691064456074643,3.1171401426743492,49.957988500381674,50.04201149961832
206,California,Marin,255004,98924.6468525984,54,72.72104398362376,15.671945145958501,1.9413668020893788,5.644206757541058,0.15791830716380917,3.709141425232545,48.27963482925758,51.72036517074242
215,California,Orange,3104983,80007.39887239318,576,42.245860379911946,34.26011488629727,1.5487014260625576,18.82118517235039,0.20506830472179732,2.631445840444216,49.44407103034059,50.55592896965941
216,California,Placer,361214,80236.99139568234,82,74.26673716965566,13.56425581511237,1.3652463636514642,6.566864517986567,0.36529674929543166,3.7340601416334938,48.84085334455475,51.159146655445255
223,California,San Francisco,840198,85425.17429105997,193,41.25369448629966,15.29275194656497,5.317031699670786,33.540151012023365,0.1790531517570858,4.017023130262151,50.89264673327002,49.10735326672999
226,California,San Mateo,746069,100369.92307279889,155,40.63850662606273,25.36681848461737,2.4768223850609004,26.204506955790958,0.11585322537191603,3.8274410275725175,49.1977283602455,50.8022716397545
228,California,Santa Clara,1868149,100743.84732855891,372,33.58126444946308,26.609013574399036,2.4111767316204435,33.51361181575987,0.18826608584218926,3.363188268173468,50.263870815443525,49.736129184556475
241,California,Ventura,840723,81336.64873686101,172,47.00113616494371,41.60112986084597,1.6005786685983379,6.928504751267655,0.2692298176688397,2.4551097091432035,49.52630057700336,50.47369942299663
250,Colorado,Boulder,310032,75742.62090042318,68,78.45341093822574,13.706761882644367,0.8241207359240336,4.293920950095475,0.21278061619445734,2.46408564277236,50.251264385611805,49.74873561438819
251,Colorado,Broomfield,60699,88341.07375739304,15,78.16313118832271,11.90463104828745,0.9284765811627868,5.939700818794378,0.20833456893853275,2.8557257944941425,49.547768497009834,50.452231502990166
262,Colorado,Douglas,306974,107492.55256796992,61,84.01926058884465,8.147604031611802,1.0088727384078129,4.044759165271325,0.1734371640594969,2.564344537322381,49.626026959937974,50.373973040062026
263,Colorado,Eagle,52576,75660.94489881315,14,67.03082775410834,29.995752814972608,0.6068206025562994,1.0494826536822888,0.3491326841144249,0.8976339013998784,53.041311625076084,46.958688374923916
265,Colorado,Elbert,23855,87531.18566338294,7,89.95045483127225,6.153443722490044,0.5237224900440159,0.4571159086145462,0.4225990358415426,2.468178578914277,50.17396772165165,49.82603227834835
274,Colorado,Jefferson,551054,75000.5712434716,136,78.87813589956704,15.045213354771041,0.9741729485676544,2.528920396186218,0.510536172498521,2.0148949104806424,49.584069800781776,50.41593019921823
308,Connecticut,Fairfield,910577,96820.2277929269,203,63.219301607661905,18.752389309196253,10.692397567696082,5.057018022638391,0.14436747249271614,2.102933744208343,48.66529683925687,51.33470316074313
310,Connecticut,Litchfield,186304,75003.96274905531,51,90.18029027825489,5.181312263826862,1.35178418069392,1.797560438852628,0.14407581157677776,1.3413201004809336,49.242098935073855,50.757901064926145
311,Connecticut,Middlesex,165165,81819.00127145581,36,84.88157902703357,5.557590288499379,4.7259812914358355,2.761025035570491,0.07738867193412648,1.9905470287288445,48.95347077165259,51.04652922834742
314,Connecticut,Tolland,149898,78889.02173477966,28,87.03269423207783,4.558415055571122,2.3037345394868507,3.974198454949366,0.028570761451120093,2.0980947043989917,49.42294093316789,50.577059066832106
319,District of Columbia,District of Columbia,634444,79196.90462199974,175,35.290477488950955,10.226116568207752,48.38811715454791,3.4902344414952298,0.1963263897207633,2.3739203144800802,47.18856195345846,52.81143804654154
442,Georgia,Fayette,108655,82417.34623349132,20,65.6146794901293,6.964225300262298,20.63548479131195,4.0027186967925985,0.3054107036031476,2.3965257006120297,48.52054668445999,51.47945331554001
444,Georgia,Forsyth,196236,92411.16615198027,45,77.34621476181741,9.565653091175928,2.817996697853606,8.267525836238,0.200294033714507,1.7850919301249528,49.687621027742104,50.312378972257896
547,Hawaii,Honolulu,982103,79446.84654359064,229,19.41404913741227,9.247478930417687,2.443274890719202,41.68554968267076,0.12364497410149441,18.498969456360477,50.57086680317645,49.42913319682355
615,Illinois,DuPage,930412,84459.58270099698,216,68.57447883303313,13.922736056714665,4.570784233221412,10.76738369668491,0.06277541562232646,2.0680286797676706,49.03999518492883,50.96000481507117
640,Illinois,Kendall,120036,82865.5617897964,10,72.37970942050718,16.631208137558733,6.399231897097538,3.2148880335899235,0.0,1.3749625112466228,49.67842980439202,50.32157019560799
643,Illinois,Lake,702392,86877.63927692798,151,63.7412964555405,20.703187963416433,6.717030803312111,6.707783545370676,0.08849317759883368,1.9974851649791003,49.87243590473695,50.12756409526305
656,Illinois,McHenry,307357,79924.85308940418,52,82.55532556603556,12.098144502972117,1.2463038095764862,2.5998822216510438,0.025313560452503114,1.4646476247490716,49.808528844308086,50.191471155691914
692,Illinois,Will,680779,82403.07502581601,150,65.86484218814034,16.347508662870027,10.70189811965411,4.98577673518131,0.08638295247062557,2.0077894588405334,49.424115608736464,50.575884391263536
701,Indiana,Boone,60511,78723.03686932955,10,92.4456231098478,2.533162565483962,1.2408421609294178,2.2498686189287906,0.22391796532861796,1.306585579481417,49.572804944555536,50.427195055444464
724,Indiana,Hamilton,296635,92587.21108770037,39,85.01318792455375,3.7083260572757757,3.5292999814586947,5.339285654086673,0.11395486035026209,2.2888485849613156,48.847236502772766,51.15276349722723
812,Iowa,Dallas,74892,80612.32154302196,15,87.08529348929125,6.17894835229397,1.0890882871334722,3.4173890402179143,0.06566121882177,2.0780977941569168,49.01191048443091,50.988089515569094
932,Kansas,Johnson,566814,85203.55420649455,127,80.99758492203793,7.320052609850852,4.424580373808692,4.446847113868043,0.26290176318862973,2.5246578242598097,48.92786698987675,51.07213301012325
1084,Kentucky,Oldham,63037,89011.02082903692,14,88.5663055031172,3.8209384964385995,4.142746323587733,1.3585291178196932,0.11209765693164331,1.9553373415613056,52.83722258356204,47.16277741643797
1193,Maryland,Anne Arundel,550062,93369.92949158458,102,71.07348353458337,6.876952416273076,15.047311757583689,3.5642018536092315,0.14332438888707094,3.227442906436003,49.20754387687206,50.79245612312794
1196,Maryland,Calvert,90114,99104.77559535699,18,79.2464900015536,3.321339636460483,12.569014803471159,1.354878265308387,0.14406196595423573,3.3642153272521464,49.37634551789955,50.623654482100456
1198,Maryland,Carroll,167444,88490.03475788921,38,90.35955483624375,2.9058509113494657,3.165409928095363,1.6858914024987455,0.1533019994744512,1.7208535390936661,49.42189627576981,50.578103724230196
1200,Maryland,Charles,152754,93129.46931667911,30,45.419958233499614,5.004279429671236,41.76542741924925,3.2543049609175534,0.6562826505361562,3.786987574793457,48.26780313445147,51.73219686554853
1202,Maryland,Frederick,241373,87783.77552998885,61,75.99484490808833,8.098953486926872,8.73284791588123,4.246346525916322,0.20804273883160088,2.6608908204314474,49.31703214526894,50.68296785473107
1204,Maryland,Harford,248966,82155.77757203794,57,77.63984198645598,4.00502839745186,12.92287380606187,2.7767863885028485,0.18273700023296358,2.470695998650417,48.921539487319556,51.078460512680444
1205,Maryland,Howard,304115,118325.15660523158,55,56.1049313582033,6.257974450454598,17.764828765434125,16.197221445834632,0.2032885586044753,3.42681880209789,49.046248951876755,50.953751048123245
1207,Maryland,Montgomery,1007944,109337.04789948648,211,46.15483161762954,18.440219694744943,17.27953418047035,14.56365323867199,0.1537770947592327,3.373844181819622,48.18739929996111,51.81260070003889
1208,Maryland,Prince George's,892816,78819.255555456,218,14.302839442841526,16.237888209888716,62.562767020304264,4.250597323524667,0.23228604774107983,2.387091853192594,48.1177532660705,51.882246733929506
1209,Maryland,Queen Anne's,48600,88084.3320781893,11,86.84624691358026,3.381434156378601,7.37120987654321,0.8519588477366256,0.047236625514403295,1.50191358024692,49.432098765432094,50.567901234567906
1211,Maryland,St. Mary's,109614,87990.43705183644,17,75.60280803546992,4.509782509533454,14.062072363019324,2.678324849015637,0.14385297498494717,2.973600087580052,49.867717627310384,50.132282372689616
1220,Massachusetts,Essex,763849,75198.37043577984,162,73.59512783285706,18.179333611747882,2.93736523841754,3.4326732115902465,0.09737094635196222,1.73832668498617,48.1496997443212,51.8503002556788
1224,Massachusetts,Middlesex,1556116,92672.4493958034,317,74.73008824534936,7.306496302332216,4.579893979626197,10.460802022471329,0.09001796781216823,2.81272302321935,48.74585185166144,51.25414814833855
1225,Massachusetts,Nantucket,10556,83219.3233232285,5,76.65232095490717,10.198863205759757,9.318340280409249,1.1590754073512692,0.0486926866237211,2.622707464948835,52.94619173929519,47.05380826070481
1226,Massachusetts,Norfolk,687721,95811.2559293667,130,78.12239222010088,3.8394046422895345,6.042812128755705,9.665264693095017,0.06840608328086537,2.257060784824079,47.90183810004348,52.098161899956516
1227,Massachusetts,Plymouth,501658,79352.07230025236,99,83.07817836055638,3.470309453851031,8.530571823832169,1.2692045178189124,0.09166224798567948,3.5462402672737205,48.50495756072862,51.49504243927138
1276,Michigan,Livingston,184591,77058.11438260804,61,94.81854965843408,2.1686929481935735,0.4654381849602636,0.8979793164347123,0.18325162115162713,1.4132904637820916,49.97968481670287,50.02031518329713
1292,Michigan,Oakland,1229503,75869.98215783125,337,73.5484828422541,3.7040270743544363,13.763181871048708,6.253414103096948,0.2086778966785766,2.508618848429,48.56409459757317,51.435905402426826
1322,Minnesota,Carver,95715,91903.14750039179,19,89.96272580055373,4.085338766128611,1.1483936687039646,2.5163349527242334,0.14582249386198612,2.097349422765501,49.50843650420519,50.491563495794814
1331,Minnesota,Dakota,408456,80293.66108711832,95,80.78992596509782,6.447934661260941,5.096482362849362,4.552096676263783,0.23786454354936645,2.869590114969542,49.09561862232407,50.90438137767593
1381,Minnesota,Scott,137322,91078.51414922591,21,83.28769170271335,4.676719680750352,2.8218355398261017,5.914569406213134,0.6525596772549191,2.6265245190137074,49.84561832772608,50.15438167227393
1382,Minnesota,Sherburne,90401,75050.39692038806,11,92.45935885664983,2.360358845587992,1.920961051315804,1.2097974579927215,0.36033008484419426,1.6835023948850063,50.95297618389177,49.04702381610823
1394,Minnesota,Washington,244804,86893.63970359962,48,84.80043871832159,3.7151472198166697,3.539182366301205,5.198531069753762,0.1984579500334962,2.5100292478881054,49.0424993055669,50.9575006944331
1398,Minnesota,Wright,128691,75556.00125882929,17,93.09272987232984,2.6703405832575706,1.0044393158806755,1.0114872057875064,0.36221647201435997,1.8515296329968696,50.27857425927221,49.72142574072779
1754,Nevada,Lander,5946,78190.0,1,65.2,27.1,0.1,0.8,3.7000000000000006,2.899999999999994,54.339051463168516,45.660948536831484
1768,New Hampshire,Hillsborough,403972,77672.53731446734,85,86.46297193864919,5.846963650946107,2.0479609972968422,3.590256007842129,0.08461898349390554,1.9464641113740546,49.55813769271138,50.44186230728862
1770,New Hampshire,Rockingham,299006,83880.98637485535,64,93.47079255934662,2.4678156960060997,0.6656542009190451,1.838219634388608,0.09753449763549896,1.4599834117041122,49.442820545407116,50.557179454592884
1774,New Jersey,Bergen,923268,93891.7027959379,178,59.27032540930691,17.985033598045206,5.313500197125861,15.562875568090732,0.12324958733542152,1.7261994350502778,48.37197866708258,51.62802133291742
1775,New Jersey,Burlington,450556,84360.37040900576,114,68.95445516206641,7.321366933300186,15.622183036071002,4.610122826019407,0.05961079199921874,3.403796198474776,49.199877484707784,50.80012251529221
1780,New Jersey,Gloucester,290298,79167.75057010382,63,79.65122288131505,5.426850339995453,9.771952614210226,2.9339885221393196,0.07535153531887921,2.1203418556104414,48.58903609394484,51.410963906055166
1782,New Jersey,Hunterdon,126250,109116.06476831684,26,86.90194059405941,5.855761584158416,2.400833267326732,3.600449900990099,0.059948514851485155,1.025508118811878,49.82257425742574,50.17742574257426
1783,New Jersey,Mercer,368682,84063.59485681428,76,52.438203112709616,16.215283903201133,19.42931252407224,10.10342680141694,0.06835104507407469,1.7400160571983438,48.72600235433246,51.273997645667535
1784,New Jersey,Middlesex,830300,83364.72018065759,175,46.095778995543796,19.55858773937132,9.208529326749366,23.153470673250634,0.12837299771167046,1.8187932072744792,49.18390943032639,50.81609056967361
