,CensusTract,rating,review_count,total_resturants,Mexican,American (New),Food Trucks,Cafes,Coffee & Tea,Italian,Breakfast & Brunch,Burgers,Japanese,Korean,American (Traditional),Mediterranean,Seafood,Chinese,Pizza,Sandwiches,Bakeries,Barbeque,Thai,Ramen,Tacos,Sushi Bars,Bars,Latin American,Asian Fusion,Filipino,Food Stands,Indian,French,Delis,Vegan,Vietnamese,Diners,Sports Bars,Middle Eastern,Persian/Iranian,Salad,Salvadoran,Cocktail Bars,Wine Bars,Chicken Wings,Street Vendors,Taiwanese,Creperies,Hot Dogs,Caribbean,Hawaiian,Brazilian,Southern,Soul Food,average resturant price,Unnamed: 0,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unnamed: 0.1,africanamerican138,africanamerican200,age_0_15_138,age_0_15_200,age_16_18_138,age_16_18_200,age_19_20_138,age_19_20_200,age_21_25_138,age_21_25_200,age_26_59_138,age_26_59_200,age_60_64_138,age_60_64_200,age_65up_138,age_65up_200,asian138,asian200,census_tract,female138,female200,latino138,latino200,male138,male200,multi_race138,nativeamerican138,nativeamerican200,other138,otherrace200,pacific_islander138,pacificislander200,service_area,two_more200,white138,white200,percent_bachelors,africanamericantotal,age_0_15_total,age_16_18_total,age_19_20_total,age_21_25_total,age_26_59_total,age_60_64_total,age_65up_total,asiantotal,femaletotal,latinototal,maletotal,multi_racetotal,nativeamericantotal,othertotal,pacific_islandertotal,whitetotal,total_pop,bachelors_percap,138_percap,200_percap,tract_group
CensusTract,1.0,-0.056377292877270724,-0.04494845091956623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9665978919514842,0.06732612191959893,0.06438475574044478,0.06682486486035656,-0.08132252247325188,0.049726263776704444,0.07407086621935359,0.05170273559353244,-0.015945489271191132,0.11434135618060241,0.12375770148890806,0.16406950282315239,0.0263211375044734,0.03919241023085465,0.03569732827279296,-0.15895454930287684,-0.17283794391088356,0.01340601057432,-0.13952299634170262,0.1615353062264636,-0.03094280108768443,0.019552341073167133,0.26552987620687946,0.05302682461415925,-0.31421928069529015,-0.07999786897493588,-0.13886125830727455,-0.008646318165770245,0.08485228672137518,-0.017472481221532804,-0.02495193049576293,0.2753519916690639,-0.31474073923167106,-0.03124860912750902,0.035293974191673544,0.7139374173648484,0.19121632575059966,0.18824407523239767,0.02808272781313198,-0.00335965649893544,0.020433875745441317,-0.01328056879876548,0.05724287859620695,0.032725332610058284,0.061064004762475234,0.040847953083495585,0.02283781363077622,-0.007140081359709193,-0.019100135092987382,-0.05312758298437411,-0.02463551509932655,-0.053622715098597805,0.03345112363677724,0.021001105749875043,0.9999999999999982,0.03571979038128372,0.0011416141264371752,-0.0016584804295072158,-0.027630224734580683,0.02658465086181124,-0.007277969109778041,0.0026620253676219933,0.024855875980850307,0.0030999539011451905,0.06555984179720489,0.053639821238708654,0.10434728278406316,0.10345352055063468,0.7609646100598089,-0.019315521899733925,-0.12748565699994815,-0.14879017390529706,0.08101186140250541,0.18971700156910992,0.011229170187769658,0.00192041590675654,0.04404460228478427,0.050447917242977834,0.0054405128836905,-0.03877447322609852,-0.04135015712892189,0.026464278120703053,0.016354250532604,-0.01646301743000519,0.007552781629111478,-0.00964300676333356,0.013397988413366216,0.059413195373027805,0.10440164331374435,-0.1398703696508499,0.012090029289499555,0.08101186140250531,0.03136195538978496,-0.002985973790456915,0.9993367487170823
rating,-0.056377292877270724,1.0,-0.11204105891462496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06336290509932348,0.04265999716415021,0.043525456557654794,0.03975061969468846,0.16402604749662314,-0.16726844362218635,-0.027849409836507435,0.014851768980955771,0.006291403692329439,0.02283910709054361,-0.09722777719339186,-0.2010731911205957,-0.17294716025604664,-0.19107204144320986,-0.1427962219352078,0.18061191553259812,0.20450094919521541,-0.17622628011094155,0.13237322413445113,0.0027261284865724373,0.14118813615265915,0.15893709493818575,-0.12940745428527756,0.10909363750913709,0.19381035036137526,-0.0208608211202724,-0.018777814418286857,-0.09368899183888642,0.1325299907734051,-0.008276917113810858,0.07240687900975963,-0.08934191433996144,0.013504202144876456,0.049773919997239076,0.11827233693606519,-0.07760819355288356,0.03279450078354673,0.026492315088011052,0.1885623663726526,0.19498400466133564,0.18850534263783855,0.1943262635060882,0.12698158663516473,0.13961582566021608,0.06046543089901286,0.07797391198899253,0.158396116133879,0.16150481250450327,0.1758660294394572,0.1720794475722432,0.12843218260132805,0.13229561121663247,0.053468627437784896,0.060417751454334735,-0.11941337798032889,0.17524615689979128,0.18025405402861103,0.19703851211488418,0.19712217595837306,0.17657812194315706,0.18011465477574506,0.009560300581277001,0.0930361472348896,0.11770285525190427,0.07996090340215438,0.08421684338236693,0.04990659645492727,0.041350108398846126,-0.05737627324373788,-0.0002926256293064089,-0.08036504089244025,-0.07944522950992725,-0.20992004134575815,0.029319885267390617,0.19301768088995438,0.19236815721792722,0.13449948169418352,0.0702613761579927,0.16056496374551635,0.1741331961238534,0.1309537985137357,0.057514633169881375,0.17857027809197037,0.19747719093406957,0.17903749421027967,0.004063535376011225,0.10755881039715785,0.0828476391211198,0.045513064688646875,-0.08002037926674277,0.17925919152894487,-0.20992004134575812,0.17634099333727846,0.18066017582008176,-0.11981163570549792
review_count,-0.04494845091956623,-0.11204105891462496,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014821171699289192,-0.13039740809875244,-0.10798079307387454,-0.1446479320802401,-0.25430223239168814,0.17716314100258693,-0.10662058609381547,0.020786852786332497,0.3184734174009048,-0.040754698735188014,-0.006889626395280891,0.014394696546088456,0.03078742275439901,0.20153171392699237,0.16061444119418164,-0.019436386203226307,-0.0026143490989890927,0.2419374105840778,-0.08631972768983986,-0.13504521059975583,-0.24362063502667225,-0.20104202521767361,-0.2261914341050973,-0.20530553697143733,0.1922537010018172,0.1397185875500094,0.1517049895947126,0.1366419739287648,-0.09436598681105042,0.04438777418706302,-0.009878978578567291,-0.13526035354429689,0.1850354254083439,-0.01704939297453387,-0.12164138485858901,0.16407266910742854,-0.0980974692641999,-0.0999765851607339,-0.1818039517387082,-0.21262269985936677,-0.17860322490719224,-0.20858837271147368,-0.14941053066068757,-0.1672779050209197,-0.07344251147925016,-0.09298341930280593,0.03705754135641385,0.012807388740899144,0.01538567274922632,-0.010921823330947518,0.2342106580244298,0.20632922025453307,0.3188045269695489,0.31740391793375977,0.14553781727946521,-0.0786307666993689,-0.09920833207533342,-0.158291269235103,-0.17635526899946624,-0.050537550411562104,-0.07207381989353767,0.07302429780352072,-0.007750599662434622,-0.032206420324513804,-0.03282430702066507,-0.034992099951086944,-0.053968102880046276,-0.0653808568686817,0.08308580752098305,0.07628091699372137,0.14959559242595263,0.13913550580582887,0.2707972414484094,-0.09918360024853082,-0.1996088425567124,-0.19587342849640416,-0.15995148009528265,-0.08439461402456686,0.023016484254550062,0.00011605001163646373,0.2188626052650523,0.3184864072006611,-0.09053469402680377,-0.16897733021458294,-0.06289429459540158,0.07507019657361316,-0.021195064415183897,-0.03424298150975795,-0.061367600795874014,0.14399280503716674,-0.07729039254346114,0.2707972414484094,-0.06513076013263258,-0.08624048242059255,0.14125228305395224
total_resturants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American (New),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food Trucks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coffee & Tea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
