,CensusTract,name,category1,price,rating,review_count,city,zipcode,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,County
0,6037228600.0,Fettes Schwein Food Truck,Food Trucks,$,4.5,14,Los Angeles,90011.0,90.1,2.0,5.0,0.0,0.0,2.6,26200.0,8574.0,50.5,Los Angeles
1,6037190520.0,The Tropic Truck,Food Trucks,$$,4.0,50,Los Angeles,90027.0,42.5,39.5,3.5,0.0,12.6,0.0,27891.0,17794.0,28.1,Los Angeles
2,6037141102.0,Okamoto Kitchen,Food Trucks,$$,4.5,168,Los Angeles,91423.0,8.9,70.6,8.4,0.0,8.5,0.0,85294.0,68630.0,6.6,Los Angeles
3,6037207400.0,White Rabbit Truck,Filipino,$,3.5,569,Los Angeles,90012.0,61.3,14.4,17.0,0.0,4.5,0.0,10598.0,4693.0,91.8,Los Angeles
4,6037122200.0,Shawarma and Falafel Palace Food Truck,Food Trucks,$,1.0,1,Los Angeles,91352.0,81.7,8.4,0.2,0.1,6.3,0.0,55457.0,15980.0,9.8,Los Angeles
5,6037224700.0,Urban Espresso,Food Trucks,$,4.5,25,Los Angeles,90007.0,15.0,48.6,4.3,0.0,28.1,0.2,10560.0,6544.0,81.3,Los Angeles
6,6037181400.0,Cafe Beaujolais,French,$$,4.5,1261,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
7,6037183402.0,Rock'n Egg Cafe,Breakfast & Brunch,$$,4.0,33,Los Angeles,90041.0,48.9,21.4,0.2,0.0,26.6,0.4,44103.0,23844.0,22.0,Los Angeles
9,6037181000.0,Red Herring,American (New),$$$,4.5,160,Los Angeles,90041.0,34.1,40.7,1.0,0.0,21.7,0.0,87672.0,42550.0,10.1,Los Angeles
10,6037181500.0,CaCao Mexicatessen,Mexican,$$,4.0,1309,Los Angeles,90041.0,48.9,30.5,0.0,0.0,18.0,0.3,90069.0,38247.0,4.9,Los Angeles
11,6037183402.0,Zweet Cafe,Coffee & Tea,$,4.5,305,Los Angeles,90041.0,48.9,21.4,0.2,0.0,26.6,0.4,44103.0,23844.0,22.0,Los Angeles
12,6037183620.0,Jane,Coffee & Tea,$$,4.0,241,Los Angeles,90042.0,74.5,14.4,1.2,0.6,7.2,0.0,49286.0,18714.0,22.4,Los Angeles
13,6037183220.0,Parsnip,Cafes,$$,5.0,159,Los Angeles,90042.0,70.8,8.9,0.9,0.1,16.2,1.1,46710.0,17955.0,18.6,Los Angeles
14,6037181500.0,Cindy's Eagle Rock,Breakfast & Brunch,$$,4.0,478,Los Angeles,90041.0,48.9,30.5,0.0,0.0,18.0,0.3,90069.0,38247.0,4.9,Los Angeles
15,6037181400.0,Four Cafe,American (New),$$,4.0,677,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
16,6037181000.0,Eagle Rock Kitchen,Filipino,$,4.5,115,Los Angeles,90041.0,34.1,40.7,1.0,0.0,21.7,0.0,87672.0,42550.0,10.1,Los Angeles
17,6037183101.0,Amara Kitchen,Coffee & Tea,$$,4.0,334,Los Angeles,90042.0,68.3,16.5,1.7,0.0,10.0,0.0,64500.0,29202.0,12.6,Los Angeles
19,6037181600.0,Max City BBQ,Caterers,$$,4.0,687,Los Angeles,90041.0,40.9,29.6,1.4,0.0,23.8,0.0,66250.0,21560.0,7.4,Los Angeles
20,6037181400.0,New York Famous Deli,Delis,$$,4.5,458,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
22,6037181400.0,SpireWorks,Turkish,$,4.5,192,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
23,6037183401.0,À Bloc,Coffee & Tea,$,5.0,38,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
24,6037183300.0,Huarache Azteca Restaurante,Mexican,$,4.0,725,Los Angeles,90042.0,61.1,14.0,0.8,0.0,23.8,0.0,61576.0,21916.0,15.4,Los Angeles
25,6037181400.0,The Melt Spot,Creperies,$,4.5,61,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
26,6037183401.0,Côté Est,Wine Bars,$$,4.5,62,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
27,6037181400.0,Milkfarm,Cheese Shops,$$,4.5,157,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
28,6037183221.0,Highland Market/Kitchen,Convenience Stores,$,4.5,31,Los Angeles,90042.0,67.2,24.0,0.3,0.0,4.8,0.3,55100.0,25786.0,21.0,Los Angeles
29,6037181400.0,Posto Giusto,Italian,$$,4.0,99,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
30,6037183401.0,The Highland Cafe,Cafes,$$,3.5,472,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
31,6037183220.0,Fusion Burgers,Burgers,$$,4.0,666,Los Angeles,90042.0,70.8,8.9,0.9,0.1,16.2,1.1,46710.0,17955.0,18.6,Los Angeles
32,6037181600.0,Abby's Diner,American (Traditional),$,4.0,178,Los Angeles,90041.0,40.9,29.6,1.4,0.0,23.8,0.0,66250.0,21560.0,7.4,Los Angeles
33,6037183402.0,Delia's Restaurant,Mexican,$,4.5,233,Los Angeles,90041.0,48.9,21.4,0.2,0.0,26.6,0.4,44103.0,23844.0,22.0,Los Angeles
34,6037181500.0,Colorado Donuts,Donuts,$,4.5,484,Los Angeles,90041.0,48.9,30.5,0.0,0.0,18.0,0.3,90069.0,38247.0,4.9,Los Angeles
35,6037186201.0,Drive Thru Pupusas,Salvadoran,$,5.0,14,Los Angeles,90041.0,39.8,16.6,0.8,0.0,41.7,0.0,45000.0,18605.0,17.5,Los Angeles
36,6037181400.0,Eagle Rock Italian Bakery & Deli,Bakeries,$,4.5,434,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
37,6037183810.0,La Fuente Restaurant,Mexican,$$,4.5,236,Los Angeles,90042.0,82.3,9.1,0.8,0.0,7.5,0.0,35000.0,15842.0,31.2,Los Angeles
38,6037181400.0,Armon's Restaurant,American (New),$,4.0,280,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
40,6037183401.0,Ramen of York,Ramen,$$,4.0,344,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
41,6037181000.0,Organix,Grocery,$$,4.5,430,Los Angeles,90041.0,34.1,40.7,1.0,0.0,21.7,0.0,87672.0,42550.0,10.1,Los Angeles
42,6037181400.0,Meea's,Hot Dogs,$,4.5,250,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
43,6037181300.0,Spitz - Eagle Rock,Sandwiches,$$,4.0,1095,Los Angeles,90041.0,36.7,34.9,0.8,0.0,26.1,0.0,84531.0,35599.0,8.4,Los Angeles
44,6037183401.0,Belle's Bagels,Coffee & Tea,$,4.0,115,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
45,6037183402.0,U Pick Cafe,Mediterranean,$,4.5,253,Los Angeles,90041.0,48.9,21.4,0.2,0.0,26.6,0.4,44103.0,23844.0,22.0,Los Angeles
46,6037181500.0,Kogi BBQ Truck - Verde,Barbeque,$,4.0,579,Los Angeles,90041.0,48.9,30.5,0.0,0.0,18.0,0.3,90069.0,38247.0,4.9,Los Angeles
47,6037181000.0,The Oinkster,Burgers,$$,4.0,3303,Los Angeles,90041.0,34.1,40.7,1.0,0.0,21.7,0.0,87672.0,42550.0,10.1,Los Angeles
48,6037183300.0,China In The Box,Chinese,$,4.0,165,Los Angeles,90042.0,61.1,14.0,0.8,0.0,23.8,0.0,61576.0,21916.0,15.4,Los Angeles
49,6037183701.0,Triple Beam Pizza,Pizza,$,4.0,82,Los Angeles,90042.0,82.9,6.8,5.0,0.2,4.0,0.6,45061.0,19950.0,28.6,Los Angeles
50,6037183300.0,Sonny's Hideaway,American (New),$$,4.0,338,Los Angeles,90042.0,61.1,14.0,0.8,0.0,23.8,0.0,61576.0,21916.0,15.4,Los Angeles
51,6037125501.0,Wake & Bake,Coffee & Tea,$$,4.5,73,Los Angeles,91601.0,33.2,51.1,6.1,0.1,5.7,0.0,51037.0,34575.0,13.1,Los Angeles
52,6037181000.0,Eagle Rock Green Dragon,Chinese,$$,4.0,364,Los Angeles,90041.0,34.1,40.7,1.0,0.0,21.7,0.0,87672.0,42550.0,10.1,Los Angeles
53,6037183402.0,Patio Burgers & Beer,Burgers,$$,4.5,175,Los Angeles,90041.0,48.9,21.4,0.2,0.0,26.6,0.4,44103.0,23844.0,22.0,Los Angeles
55,6037181000.0,Pete's Blue Chip,Burgers,$,4.0,306,Los Angeles,90041.0,34.1,40.7,1.0,0.0,21.7,0.0,87672.0,42550.0,10.1,Los Angeles
56,6037463601.0,Badaro Cuisine,Mediterranean,$$,5.0,7,Los Angeles,91101.0,15.8,41.4,5.3,0.0,33.8,0.0,78044.0,55541.0,7.5,Los Angeles
57,6037183401.0,Cena Vegan,Mexican,$,4.5,119,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
58,6037101400.0,The Magic Dragon,Food Trucks,$,4.5,25,Los Angeles,91042.0,24.3,62.0,0.9,0.4,6.0,0.0,60385.0,29140.0,11.6,Los Angeles
59,6037181400.0,All About Poke,Poke,$$,4.5,124,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
60,6037183300.0,Donut Friend,Donuts,$,4.5,1676,Los Angeles,90042.0,61.1,14.0,0.8,0.0,23.8,0.0,61576.0,21916.0,15.4,Los Angeles
61,6037181400.0,5 Line Tavern,Cocktail Bars,$$,4.0,326,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
62,6037463700.0,The Walrus and the Hedgehog,Pop-Up Restaurants,$$,5.0,19,Los Angeles,91105.0,18.2,50.5,8.0,0.0,18.4,0.0,117875.0,78992.0,13.1,Los Angeles
63,6037183300.0,Tacos La Tehuanita,Tacos,$,5.0,32,Los Angeles,90042.0,61.1,14.0,0.8,0.0,23.8,0.0,61576.0,21916.0,15.4,Los Angeles
65,6037181300.0,Aslan Catering,Mediterranean,$$,5.0,120,Los Angeles,90041.0,36.7,34.9,0.8,0.0,26.1,0.0,84531.0,35599.0,8.4,Los Angeles
66,6037181400.0,Eagles Tacos,Mexican,$,4.5,76,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
67,6037181600.0,Señor Fish,Mexican,$$,4.0,758,Los Angeles,90041.0,40.9,29.6,1.4,0.0,23.8,0.0,66250.0,21560.0,7.4,Los Angeles
68,6037183610.0,Taco Fix Restaurant,Mexican,$,3.5,241,Los Angeles,90042.0,81.7,9.7,0.8,0.0,6.1,0.4,41311.0,16469.0,30.5,Los Angeles
69,6037181300.0,Rick's,Filipino,$,4.0,46,Los Angeles,90041.0,36.7,34.9,0.8,0.0,26.1,0.0,84531.0,35599.0,8.4,Los Angeles
71,6037181400.0,Casa Bianca Pizza Pie,Pizza,$$,4.0,1178,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
72,6037183620.0,Maximiliano,Italian,$$,4.0,859,Los Angeles,90042.0,74.5,14.4,1.2,0.6,7.2,0.0,49286.0,18714.0,22.4,Los Angeles
73,6037183401.0,Burgerlords,Burgers,$,3.5,97,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
74,6037183401.0,The York,Bars,$$,3.5,970,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
75,6037181500.0,Eagle Rock Noodle & Grill,Noodles,$,3.0,168,Los Angeles,90041.0,48.9,30.5,0.0,0.0,18.0,0.3,90069.0,38247.0,4.9,Los Angeles
76,6037181400.0,Chateau Lemongrass,Vietnamese,$,4.0,213,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
77,6037183300.0,Jugos Azteca,Juice Bars & Smoothies,$,4.0,264,Los Angeles,90042.0,61.1,14.0,0.8,0.0,23.8,0.0,61576.0,21916.0,15.4,Los Angeles
78,6037181400.0,Mediterranean Triangle,Mediterranean,$,4.0,150,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
79,6037183401.0,The Hi Hat,Bars,$$,4.0,45,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
80,6037181000.0,Pollos A La Brasa Eagle Rock,Latin American,$$,3.5,126,Los Angeles,90041.0,34.1,40.7,1.0,0.0,21.7,0.0,87672.0,42550.0,10.1,Los Angeles
81,6037183101.0,Highland Park Din Din A Go Go,Food Stands,$,4.5,16,Los Angeles,90065.0,68.3,16.5,1.7,0.0,10.0,0.0,64500.0,29202.0,12.6,Los Angeles
82,6037181500.0,The Habit Burger Grill,Burgers,$,3.5,147,Los Angeles,90041.0,48.9,30.5,0.0,0.0,18.0,0.3,90069.0,38247.0,4.9,Los Angeles
83,6037183300.0,Fiesta Fastfood,Filipino,$$,4.5,30,Los Angeles,90042.0,61.1,14.0,0.8,0.0,23.8,0.0,61576.0,21916.0,15.4,Los Angeles
84,6037121101.0,Bird Coma,Food Trucks,$$,4.5,42,Los Angeles,91352.0,61.0,23.1,2.0,0.4,11.7,0.0,44010.0,18603.0,27.4,Los Angeles
85,6037183402.0,Pat & Lorraines Coffee Shop,Diners,$$,3.5,266,Los Angeles,90041.0,48.9,21.4,0.2,0.0,26.6,0.4,44103.0,23844.0,22.0,Los Angeles
86,6037183220.0,Mando's Family Restaurant,American (Traditional),$,4.0,66,Los Angeles,90042.0,70.8,8.9,0.9,0.1,16.2,1.1,46710.0,17955.0,18.6,Los Angeles
87,6037183610.0,Mason's Dumpling Shop,Chinese,$$,3.5,35,Los Angeles,90042.0,81.7,9.7,0.8,0.0,6.1,0.4,41311.0,16469.0,30.5,Los Angeles
89,6037224700.0,Amazebowls,Food Trucks,$,4.5,158,Los Angeles,90007.0,15.0,48.6,4.3,0.0,28.1,0.2,10560.0,6544.0,81.3,Los Angeles
90,6037181500.0,Golden Forest Mongolian BBQ,Mongolian,$,3.5,85,Los Angeles,90041.0,48.9,30.5,0.0,0.0,18.0,0.3,90069.0,38247.0,4.9,Los Angeles
91,6037183101.0,My Taco,Mexican,$,3.5,571,Los Angeles,90042.0,68.3,16.5,1.7,0.0,10.0,0.0,64500.0,29202.0,12.6,Los Angeles
93,6037183101.0,Penny's Burgers,Burgers,$,4.0,205,Los Angeles,90042.0,68.3,16.5,1.7,0.0,10.0,0.0,64500.0,29202.0,12.6,Los Angeles
94,6037183401.0,Troy Burgers,Burgers,$,4.0,161,Los Angeles,90042.0,66.9,14.3,1.2,0.0,16.7,0.0,50739.0,24312.0,9.3,Los Angeles
95,6037181400.0,Taco Spot,Mexican,$,3.5,467,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
96,6037186201.0,Leo's Tacos,Mexican,$,4.0,352,Los Angeles,90041.0,39.8,16.6,0.8,0.0,41.7,0.0,45000.0,18605.0,17.5,Los Angeles
98,6037183222.0,Tacos Javier,Mexican,$,4.5,18,Los Angeles,90042.0,49.7,27.9,4.6,0.0,16.0,0.0,46445.0,34373.0,14.5,Los Angeles
99,6037181400.0,La Estrella Taco Truck,Mexican,$,4.0,109,Los Angeles,90041.0,42.1,26.1,1.4,0.2,27.8,0.0,56086.0,28662.0,14.5,Los Angeles
100,6037234300.0,Billionaire Burger Boyz,Food Trucks,$$,5.0,62,Los Angeles,90016.0,5.0,1.7,84.8,0.0,3.3,0.0,36010.0,31422.0,22.8,Los Angeles
101,6037183300.0,TOWN Pizza,Pizza,$,4.0,434,Los Angeles,90042.0,61.1,14.0,0.8,0.0,23.8,0.0,61576.0,21916.0,15.4,Los Angeles
102,6037205120.0,Tacos y Birria La Unica,Tacos,$,5.0,42,Los Angeles,90023.0,94.9,1.1,1.0,0.0,2.9,0.0,25201.0,10593.0,36.9,Los Angeles
