INCIDENT NUMBER,SHOOTING TYPE,INCIDENT DATE,INCIDENT YEAR,INCIDENT LOCATION,CITY,STATE,ZIP,REPORTING DISTRICT,GEO LOCATION,HANDLING UNIT ID,HANDLING UNIT NAME,HIT SHOOTING,NON HIT SHOOTING,ANIMAL SHOOTING,OTHER SHOOTING,UNINTENTIONAL DISCHARGE,WARNING SHOT,APPROX_LATITUDE,APPROX_LONGITUDE
1000200,5,03/05/2011 10:50:00 AM,2011,2000 COTTLE DRIVE,SAN JOSE,CA,95125,1199,"2000 COTTLE DRIVE
SAN JOSE, CA 95125
(37.291323, -121.896168)",LCS,LANCASTER STN,,,,,1,,37.291323,-121.896168
1000382,1,02/08/2012 08:14:00 AM,2012,1400 NORTH PEARL STREET,COMPTON,CA,90221,2824,"1400 NORTH PEARL STREET
COMPTON, CA 90221
(33.905226, -118.214631)",MCB,MAJOR CRIMES BUREAU,1,,,,,,33.905226,-118.214631
1000107,3,11/06/2012 09:55:00 PM,2012,2700 E. DEL AMO BOULEVARD,COMPTON,CA,90221,1692,"2700 E. DEL AMO BOULEVARD
COMPTON, CA 90221
(33.846581, -118.214995)",CSN,CARSON STATION,,,1,,,,33.846581,-118.214995
1000424,1,11/16/2012 09:30:00 PM,2012,81ST AND PARMALEE AVENUE,LOS ANGELES,CA,90001,2174,"81ST AND PARMALEE AVENUE
LOS ANGELES, CA 90001
(33.96580897884491831496, -118.24990302594981168384)",OSS,OPERATION SAFE STREETS BUREAU,1,,,,,,33.965808978844918,-118.249903025949812
1000400,1,05/12/2012 01:25:00 PM,2012,HUDSON AVENUE AND STAFFORD AVENUE,CITY OF INDUSTRY,CA,91744,1462,"HUDSON AVENUE AND STAFFORD AVENUE
CITY OF INDUSTRY, CA 91744
(34.02503598860171436153, -117.95933102562561901379)",IDT,INDUSTRY STN,1,,,,,,34.025035988601714,-117.959331025625619
1000373,1,01/04/2012 03:28:00 PM,2012,9300 E. VALLEY BLVD,ROSEMEAD,CA,91770,0530,"9300 E. VALLEY BLVD
ROSEMEAD, CA 91770
(34.081073, -118.066791)",TEM,TEMPLE CITY STN,1,,,,,,34.081073,-118.066791
1000388,1,03/07/2012 02:49:00 PM,2012,10300 LOU DILLON AVENUE,LOS ANGELES,CA,90059,2199,"10300 LOU DILLON AVENUE
LOS ANGELES, CA 90059
(33.943123, -118.234839)",OSS,OPERATION SAFE STREETS BUREAU,1,,,,,,33.943123,-118.234839
1000344,1,03/01/2011 03:29:00 PM,2011,500 EAST AVENUE P-14,PALMDALE,CA,93550,2614,"500 EAST AVENUE P-14
PALMDALE, CA 93550
(34.601786, -118.120609)",PLM,PALMDALE STN,1,,,,,,34.601786,-118.120609
1001385,5,01/23/2018 07:05:00 AM,2018,MIKIUNI AVENUE / NORDHOFF WAY,NORTHRIDGE,CA,91324,3609,"MIKIUNI AVENUE / NORDHOFF WAY
NORTHRIDGE, CA 91324
(34.231875, -118.571005)",NAR,NARCOTICS BUREAU,,,,,1,,34.231875,-118.571005
1000043,3,10/24/2010 10:35:00 AM,2010,1000 N. GAGE STREET,LOS ANGELES,CA,90022,0272,"1000 N. GAGE STREET
LOS ANGELES, CA 90022
(34.04792, -118.184873)",ELA,EAST LA STN,,,1,,,,34.04792,-118.184873
